Name,Rating
Raiffeisen Futura Swiss Stock A,A
LGT Sustainable Quality Bond Hgd USD B,B-
Parvest Green Tigers Classic EUR-DIS,B
Ethos - Bonds International E,B
Triodos Sustainable Equity EUR R Inc,A+
Apollo Nachhaltig Aktien Global A2,D-
UBS (Lux) EF Glbl Sust Innovtr EUR P,D
Hermes Absolute Ret Crdt F USD Acc,B+
Allianz Invest Nachhaltigkeits-Renten A,C
Acadian Sustainable Glbl Eq UCITS A EUR,D+
Sparinvest SICAV Ethical EM Value EUR I,D-
Vontobel Fd II Sustainable Water I EUR,C
LFR Euro D̩veloppement Durable I,A
